Base Year Condition,Year,Fish - Inland,Fish - Marine,Fish - Canned Fish,Mutton,Food Articles,All Commodities
Base year 1993-94 = 100,1996,127.3,143.3,139.6,162.8,132.5,125.6
Base year 1993-94 = 100,1997,150.8,186.6,139.6,179.8,140.3,131.3
Base year 1993-94 = 100,1998,166.7,201.7,139.6,186.9,156.5,138.9
Base year 1993-94 = 100,1999,182.3,186.5,153.3,189.4,163.2,143.8
Base year 1993-94 = 100,2000,237,192.9,153.5,200,169.8,152.8
Base year 1993-94 = 100,2001,245.7,193.6,153.8,194,174.3,160.7
Base year 1993-94 = 100,2002,291.5,180.8,205.9,195.4,178.6,164.7
Base year 1993-94 = 100,2003,258.4,206.5,246.6,201.4,181,173.4
Base year 1993-94 = 100,2004,265,202.2,264.8,216.6,185.1,184.9
Base year 1993-94 = 100,2005,318.3,202.3,272,225,192.4,193.7
Base year 1993-94 = 100,2006,332.3,233.4,281.4,240.6,205.6,203
Base year 1993-94 = 100,2007,299.4,274.5,291.7,255.9,220,212.8
Base year 1993-94 = 100,2008,289.9,300.3,296.4,291,234.6,232.2
Base year 1993-94 = 100,2009,389.7,298.9,419.4,345.2,264.2,237.1
Base year 2004-05 = 100,2005,113.72,98.43,106.24,102.8,103.33,103.37
Base year 2004-05 = 100,2006,112.46,118.6,112.3,115.58,112.25,109.59
Base year 2004-05 = 100,2007,101.92,125.15,118.18,122.11,122.65,114.94
Base year 2004-05 = 100,2008,100.98,139.18,117.78,136.87,131.56,124.92
Base year 2004-05 = 100,2009,135.49,151.38,136.18,164.89,148.31,127.86
Base year 2004-05 = 100,2010,186.67,212.75,135.53,184.56,174.56,140.08
Base year 2004-05 = 100,2011,230.57,236.62,146.58,195.91,190.42,153.35
Base year 2004-05 = 100,2012,291.43,275.19,158.49,215.26,206.52,164.92
Base year 2004-05 = 100,2013,365.21,289.88,150.22,239.39,234.13,175.35
